delay,,,,,,condition,,,,,key_resp.rt,,,,,,,,
0.1,,,,,,unexp,,,,,3.1152357,,,,,,,,
0.1,,,,,,unexp,,,,,0.4247095,,,,,,,,
0.1,,,,,,unexp,,,,,0.3626966,,,,,,,,
0.1,,,,,,unexp,,,,,3.4448252,,,,,,,,
0.1,,,,,,unexp,,,,,4.1322976,,,,,,,,
0.1,,,,,,unexp,,,,,3.141374,,,,,,,,
0.1,,,,,,unexp,,,,,2.9850861,,,,,,,,
0.1,,,,,,unexp,,,,,6.7983512,,,,,,,,
0.1,,,,,,unexp,,,,,2.4461647,,,,,,,,
0.1,,,,,,unexp,,,,,4.5050777,,,,,,,,
0.1,,,,,,unexp,,,,,3.8612844,,,,,,,,
0.1,,,,,,unexp,,,,,1.8620425,,,,,,,,
0.1,,,,,,unexp,,,,,2.7423041,,,,,,,,
0.1,,,,,,unexp,,,,,1.2212745,,,,,,,,
0.1,,,,,,unexp,,,,,1.8842221,,,,,,,,
0.1,,,,,,unexp,,,,,2.4936622,,,,,,,,
0.4,,,,,,unexp,,,,,0.388915,,,,,,,,
0.4,,,,,,unexp,,,,,0.5207539,,,,,,,,
0.4,,,,,,unexp,,,,,0.7607316,,,,,,,,
0.4,,,,,,unexp,,,,,1.6750661,,,,,,,,
0.4,,,,,,unexp,,,,,2.3472384,,,,,,,,
0.4,,,,,,unexp,,,,,3.4883758,,,,,,,,
0.4,,,,,,unexp,,,,,1.8968348,,,,,,,,
0.4,,,,,,unexp,,,,,2.220543,,,,,,,,
0.4,,,,,,unexp,,,,,2.0953477,,,,,,,,
0.4,,,,,,unexp,,,,,1.6446006,,,,,,,,
0.4,,,,,,unexp,,,,,2.6267168,,,,,,,,
0.4,,,,,,unexp,,,,,6.9291314,,,,,,,,
0.4,,,,,,unexp,,,,,0.5666987,,,,,,,,
0.4,,,,,,unexp,,,,,2.6212984,,,,,,,,
0.4,,,,,,unexp,,,,,0.5985272,,,,,,,,
0.4,,,,,,unexp,,,,,0.6174074,,,,,,,,
0.4,,,,,,unexp,,,,,0.5585632,,,,,,,,
0.4,,,,,,unexp,,,,,0.7209188,,,,,,,,
0.4,,,,,,unexp,,,,,1.9625549,,,,,,,,
0.4,,,,,,unexp,,,,,2.032448,,,,,,,,
0.4,,,,,,unexp,,,,,0.320484,,,,,,,,
0.4,,,,,,unexp,,,,,1.5991564,,,,,,,,
0.4,,,,,,unexp,,,,,2.5535082,,,,,,,,
0.4,,,,,,unexp,,,,,2.5638094,,,,,,,,
0.4,,,,,,unexp,,,,,1.7672163,,,,,,,,
0.4,,,,,,unexp,,,,,1.1626415,,,,,,,,
0.4,,,,,,unexp,,,,,0.6982483,,,,,,,,
0.4,,,,,,unexp,,,,,1.8454327,,,,,,,,
0.7,,,,,,unexp,,,,,1.6986753,,,,,,,,
0.7,,,,,,unexp,,,,,2.040953,,,,,,,,
0.7,,,,,,unexp,,,,,0.5948941,,,,,,,,
0.7,,,,,,unexp,,,,,0.5762238,,,,,,,,
0.7,,,,,,unexp,,,,,0.9813755,,,,,,,,
